Sciurus_vulgaris	Octodon_degus	Ochotona_princeps	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
4.4256e-08	4.1368e-08	2.1855e-07	1.0335e-07	2.8363e-05	0.01	0.039371	
4.2903e-08	4.5107e-08	1.8361e-07	1.132e-07	2.8599e-05	0.01	0.039413	
3.7931e-08	4.5966e-08	1.7651e-07	1.2103e-07	2.8809e-05	0.01	0.039455	
2.915e-08	5.4379e-08	1.6155e-07	1.452e-07	2.8607e-05	0.01	0.039497	
2.8004e-08	5.9712e-08	1.6177e-07	1.6604e-07	2.8379e-05	0.01	0.039539	
2.3471e-08	6.1009e-08	1.8497e-07	1.8347e-07	2.9206e-05	0.01	0.039581	
2.4595e-08	5.9227e-08	1.8962e-07	1.9774e-07	2.9988e-05	0.01	0.039623	
2.721e-08	5.9647e-08	2.0251e-07	2.1833e-07	3.0915e-05	0.01	0.039665	
2.7609e-08	5.7063e-08	2.0908e-07	2.3612e-07	3.1794e-05	0.01	0.039707	
2.9687e-08	5.6766e-08	2.2478e-07	2.3229e-07	3.2873e-05	0.01	0.03975	
3.3894e-08	5.8578e-08	2.5524e-07	2.3394e-07	3.4139e-05	0.01	0.039794	
3.5783e-08	5.7428e-08	2.7834e-07	2.3343e-07	3.5347e-05	0.01	0.039837	
3.5382e-08	5.3323e-08	2.9437e-07	2.3077e-07	3.6502e-05	0.01	0.03988	
3.688e-08	5.1191e-08	3.223e-07	2.326e-07	3.7849e-05	0.01	0.039924	
3.6036e-08	4.6103e-08	3.4246e-07	2.3224e-07	3.9135e-05	0.01	0.039967	
3.7131e-08	4.2834e-08	3.7627e-07	2.3645e-07	4.0637e-05	0.01	0.04001	
3.5236e-08	4.1199e-08	4.0004e-07	2.3105e-07	4.2394e-05	0.01	0.040054	
4.0838e-08	3.6709e-08	4.5585e-07	2.2302e-07	4.4073e-05	0.01	0.040098	
5.0195e-08	3.8932e-08	5.4795e-07	2.2202e-07	4.4733e-05	0.01	0.040142	
5.7048e-08	3.8527e-08	6.285e-07	2.1912e-07	4.5359e-05	0.01	0.040186	
6.1427e-08	3.5603e-08	6.9153e-07	2.1446e-07	4.5956e-05	0.01	0.040229	
6.3745e-08	3.0298e-08	7.4717e-07	2.0829e-07	4.653e-05	0.01	0.040273	
6.4112e-08	2.2677e-08	7.9631e-07	2.0071e-07	4.7085e-05	0.01	0.040316	
6.258e-08	1.2767e-08	8.394e-07	1.9176e-07	4.7622e-05	0.01	0.04036	
5.9171e-08	2.0066e-08	8.767e-07	1.8147e-07	4.8135e-05	0.01	0.040403	
5.7062e-08	2.7347e-08	9.2716e-07	1.7374e-07	4.872e-05	0.01	0.040447	
5.6123e-08	3.4782e-08	9.9245e-07	1.6828e-07	4.9383e-05	0.01	0.040491	
5.6305e-08	4.2559e-08	1.0749e-06	1.6492e-07	5.0127e-05	0.01	0.040535	
5.4709e-08	4.8078e-08	1.1509e-06	1.6039e-07	5.0854e-05	0.01	0.04058	
5.4416e-08	5.408e-08	1.1341e-06	1.5785e-07	5.1667e-05	0.01	0.040625	
5.2343e-08	5.7796e-08	1.1118e-06	1.5414e-07	5.2461e-05	0.01	0.04067	
5.1296e-08	6.2083e-08	1.1019e-06	1.5232e-07	5.3347e-05	0.01	0.040716	
4.8482e-08	6.4073e-08	1.0865e-06	1.4935e-07	5.4213e-05	0.01	0.040761	
4.3895e-08	6.3769e-08	1.0656e-06	1.4523e-07	5.5059e-05	0.01	0.040807	
4.0262e-08	6.407e-08	1.0568e-06	1.4294e-07	5.6001e-05	0.01	0.040852	
3.4872e-08	6.207e-08	1.0425e-06	1.395e-07	5.6923e-05	0.01	0.040898	
2.771e-08	5.7759e-08	1.0227e-06	1.3491e-07	5.7824e-05	0.01	0.040944	
1.8726e-08	5.4089e-08	9.9727e-07	1.272e-07	5.8829e-05	0.01	0.04099	
1.0666e-08	5.0977e-08	9.8415e-07	1.2148e-07	5.9946e-05	0.01	0.041036	
1.4943e-08	4.5569e-08	9.6166e-07	1.1457e-07	6.104e-05	0.01	0.041082	
1.7589e-08	3.7868e-08	9.3361e-07	1.0649e-07	6.2111e-05	0.01	0.041128	
2.0396e-08	3.062e-08	9.1752e-07	1.0023e-07	6.33e-05	0.01	0.041174	
2.349e-08	2.3627e-08	9.1277e-07	9.5611e-08	6.4619e-05	0.01	0.041221	
2.4906e-08	1.4393e-08	9.0262e-07	8.9869e-08	6.5911e-05	0.01	0.041268	
2.6744e-08	5.2805e-09	9.0403e-07	8.5684e-08	6.7345e-05	0.01	0.041315	
2.6817e-08	7.4638e-09	8.9937e-07	8.0308e-08	6.8732e-05	0.01	0.041362	
2.5098e-08	7.5477e-09	8.8837e-07	7.3704e-08	7.0084e-05	0.01	0.041409	
2.4059e-08	6.7975e-09	8.9098e-07	6.8854e-08	7.1605e-05	0.01	0.041456	
2.0941e-08	1.1049e-08	8.851e-07	6.1298e-08	7.2381e-05	0.01	0.041504	
1.5804e-08	1.2997e-08	8.7086e-07	5.2228e-08	7.3118e-05	0.01	0.041552	
1.1682e-08	1.479e-08	8.7376e-07	4.5439e-08	7.3999e-05	0.01	0.0416	
1.4552e-08	1.4146e-08	8.5668e-07	3.6933e-08	7.4828e-05	0.01	0.041648	
1.4171e-08	2.4652e-08	8.918e-07	3.844e-08	7.5344e-05	0.01	0.041696	
1.4515e-08	3.731e-08	9.5147e-07	4.1475e-08	7.6003e-05	0.01	0.041745	
1.2881e-08	4.6889e-08	9.9926e-07	4.3139e-08	7.6616e-05	0.01	0.041793	
1.8921e-08	5.3446e-08	1.0238e-06	4.3372e-08	7.7184e-05	0.01	0.041842	
2.6945e-08	6.2473e-08	1.0725e-06	4.5192e-08	7.7902e-05	0.01	0.041891	
3.1364e-08	6.8171e-08	1.2132e-06	4.5458e-08	7.856e-05	0.01	0.04194	
3.3307e-08	7.0702e-08	1.3337e-06	6.6928e-08	7.917e-05	0.01	0.04199	
3.7214e-08	7.5841e-08	1.5057e-06	9.5252e-08	7.9933e-05	0.01	0.04204	
3.873e-08	7.7795e-08	1.6556e-06	1.205e-07	8.0646e-05	0.01	0.042089	
3.7915e-08	7.663e-08	1.7859e-06	1.4294e-07	8.1312e-05	0.01	0.042139	
3.914e-08	7.8148e-08	1.9734e-06	1.7317e-07	8.2138e-05	0.01	0.042189	
3.8e-08	7.6439e-08	2.1371e-06	2e-07	8.2909e-05	0.01	0.04224	
3.9008e-08	7.7594e-08	2.3728e-06	2.0289e-07	8.3863e-05	0.01	0.042291	
4.5449e-08	9.4242e-08	2.4937e-06	2.1655e-07	8.4138e-05	0.01	0.042342	
4.8471e-08	1.7975e-07	2.8091e-06	2.2678e-07	8.418e-05	0.01	0.042392	
4.9014e-08	2.5719e-07	3.0896e-06	2.347e-07	8.4182e-05	0.01	0.042443	
5.2519e-08	3.5676e-07	3.2028e-06	2.4774e-07	8.4302e-05	0.01	0.042494	
5.8717e-08	4.8451e-07	3.3709e-06	2.6672e-07	8.4538e-05	0.01	0.042544	
6.2402e-08	6.0203e-07	3.5179e-06	2.8317e-07	8.474e-05	0.01	0.042595	
6.3634e-08	7.1008e-07	3.6457e-06	2.9721e-07	8.4908e-05	0.01	0.042646	
6.2402e-08	8.0871e-07	3.7519e-06	3.0876e-07	8.5038e-05	0.01	0.042697	
5.8863e-08	8.9975e-07	3.8433e-06	3.1826e-07	8.5139e-05	0.01	0.042748	
5.7514e-08	1.0146e-06	3.9782e-06	3.3271e-07	8.534e-05	0.01	0.0428	
5.3926e-08	1.121e-06	4.0976e-06	3.4504e-07	8.5513e-05	0.01	0.042851	
5.2716e-08	1.2197e-06	4.2689e-06	3.5506e-07	8.5658e-05	0.01	0.042903	
5.3375e-08	1.4155e-06	4.5007e-06	3.7179e-07	8.4831e-05	0.01	0.042954	
5.1945e-08	1.6002e-06	4.7136e-06	3.8647e-07	8.3971e-05	0.01	0.043005	
5.2084e-08	1.8269e-06	4.991e-06	4.0652e-07	8.3234e-05	0.01	0.043057	
5.3761e-08	2.1052e-06	5.3482e-06	4.3278e-07	8.2611e-05	0.01	0.043109	
5.7219e-08	2.3669e-06	5.8088e-06	4.7191e-07	8.1951e-05	0.01	0.043161	
5.8628e-08	2.6152e-06	6.2395e-06	5.0826e-07	8.1262e-05	0.01	0.043214	
5.7989e-08	2.8507e-06	6.6419e-06	5.4193e-07	8.0543e-05	0.01	0.043266	
3.3207e-08	3.1417e-06	7.186e-06	5.8534e-07	7.994e-05	0.01	0.043318	
3.4836e-08	3.4173e-06	7.6623e-06	6.2555e-07	7.9308e-05	0.01	0.043369	
3.7553e-08	3.7561e-06	8.2712e-06	6.7654e-07	7.8781e-05	0.01	0.043422	
3.832e-08	4.0776e-06	8.8405e-06	7.241e-07	7.8228e-05	0.01	0.043474	
4.0263e-08	4.4731e-06	9.568e-06	7.8424e-07	7.7774e-05	0.01	0.043527	
4.3557e-08	4.9611e-06	1.0502e-05	8.6018e-07	7.7418e-05	0.01	0.04358	
4.48e-08	5.4234e-06	1.1371e-05	9.3123e-07	7.7035e-05	0.01	0.043633	
4.7851e-08	6.0076e-06	1.252e-05	1.0232e-06	7.6756e-05	0.01	0.043687	
5.922e-08	6.5474e-06	1.4511e-05	1.0902e-06	7.6438e-05	0.01	0.043741	
6.7646e-08	7.0447e-06	1.6297e-05	1.1503e-06	7.6078e-05	0.01	0.043794	
7.3197e-08	7.5031e-06	1.786e-05	1.2042e-06	7.5679e-05	0.01	0.043847	
8.3437e-08	8.129e-06	2.0081e-05	1.215e-06	7.543e-05	0.01	0.043901	
9.0611e-08	8.7038e-06	2.2076e-05	1.2215e-06	7.5137e-05	0.01	0.043955	
1.0382e-07	9.467e-06	2.3103e-05	1.2404e-06	7.4969e-05	0.01	0.044008	
1.136e-07	1.017e-05	2.4014e-05	1.2548e-06	7.4761e-05	0.01	0.044062	
1.4287e-07	1.0811e-05	2.4565e-05	1.3198e-06	7.4505e-05	0.01	0.044115	
1.6382e-07	1.1364e-05	2.5872e-05	1.376e-06	7.607e-05	0.01	0.044169	
1.9478e-07	1.2099e-05	2.7707e-05	1.455e-06	7.7914e-05	0.01	0.044222	
2.2068e-07	1.2774e-05	2.9343e-05	1.5259e-06	7.967e-05	0.01	0.044276	
3.3247e-07	1.3394e-05	3.059e-05	1.5882e-06	8.1336e-05	0.01	0.04433	
4.8962e-07	1.4217e-05	3.2344e-05	1.5893e-06	8.3298e-05	0.01	0.044307	
6.3001e-07	1.4974e-05	3.3909e-05	1.5857e-06	8.5166e-05	0.01	0.044285	
8.5063e-07	1.567e-05	3.6222e-05	1.5753e-06	8.6942e-05	0.01	0.044262	
1.3529e-06	1.6303e-05	3.7687e-05	1.6106e-06	8.8611e-05	0.01	0.044239	
2.0947e-06	1.6882e-05	3.9797e-05	1.6394e-06	9.0196e-05	0.01	0.044216	
2.8358e-06	1.746e-05	4.1652e-05	1.6674e-06	9.1778e-05	0.01	0.044193	
3.5763e-06	1.8037e-05	4.3281e-05	1.6948e-06	9.3358e-05	0.01	0.04417	
4.3161e-06	1.8613e-05	4.423e-05	1.7215e-06	9.4936e-05	0.01	0.044147	
5.0553e-06	1.9187e-05	4.5051e-05	1.7476e-06	9.6511e-05	0.01	0.044124	
5.7939e-06	1.9761e-05	4.5471e-05	1.7729e-06	9.8083e-05	0.01	0.044101	
6.5319e-06	2.0333e-05	4.5604e-05	1.7976e-06	9.9653e-05	0.01	0.044078	
7.2692e-06	2.0903e-05	4.5479e-05	1.8216e-06	0.00010122	0.01	0.044055	
8.0059e-06	2.1473e-05	4.5576e-05	1.845e-06	0.00010278	0.01	0.044032	
8.7419e-06	2.2041e-05	4.5852e-05	1.8676e-06	0.00010435	0.01	0.044009	
9.4774e-06	2.2608e-05	4.6584e-05	1.8896e-06	0.00010591	0.01	0.043986	
1.0212e-05	2.3173e-05	4.7658e-05	1.9109e-06	0.00010746	0.01	0.043963	
1.0946e-05	2.3738e-05	4.8249e-05	1.9315e-06	0.00010902	0.01	0.043941	
1.168e-05	2.4301e-05	4.8499e-05	1.9515e-06	0.00011057	0.01	0.043918	
1.2413e-05	2.4863e-05	4.8955e-05	1.9708e-06	0.00011212	0.01	0.043895	
1.3145e-05	2.5423e-05	4.9666e-05	1.9894e-06	0.00011367	0.01	0.043872	
1.3877e-05	2.5983e-05	5.0712e-05	2.0073e-06	0.00011521	0.01	0.04385	
1.4608e-05	2.6541e-05	5.221e-05	2.0246e-06	0.00011676	0.01	0.043827	
1.5338e-05	2.7098e-05	5.3524e-05	2.0412e-06	0.00011829	0.01	0.043804	
1.5872e-05	2.7847e-05	5.4567e-05	2.0753e-06	0.00012012	0.01	0.043782	
1.6628e-05	2.8843e-05	5.6051e-05	2.129e-06	0.00012227	0.01	0.04376	
