Sciurus_vulgaris	Oryctolagus_cuniculus	Octodon_degus	Ochotona_princeps	Heterocephalus_glaber	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
3.8916e-07	1.5396e-07	5.9471e-07	1.6118e-06	1.0592e-06	1.9206e-05	1.6279e-05	0.01	0.037132	
3.8156e-07	1.5419e-07	6.0191e-07	1.6013e-06	1.093e-06	1.8564e-05	1.6193e-05	0.01	0.037163	
3.7305e-07	1.5367e-07	6.0697e-07	1.5857e-06	1.1259e-06	1.7913e-05	1.6102e-05	0.01	0.037194	
3.6363e-07	1.5239e-07	6.0988e-07	1.5652e-06	1.1578e-06	1.7253e-05	1.6007e-05	0.01	0.037225	
3.533e-07	1.5037e-07	6.1065e-07	1.5397e-06	1.1888e-06	1.6584e-05	1.5907e-05	0.01	0.037256	
3.4206e-07	1.476e-07	6.0928e-07	1.5093e-06	1.2188e-06	1.5906e-05	1.5802e-05	0.01	0.037287	
3.2991e-07	1.4407e-07	6.0577e-07	1.4738e-06	1.2478e-06	1.522e-05	1.5693e-05	0.01	0.037318	
3.1686e-07	1.398e-07	6.0011e-07	1.4334e-06	1.2759e-06	1.4525e-05	1.558e-05	0.01	0.037349	
3.0289e-07	1.3477e-07	5.9231e-07	1.3881e-06	1.3029e-06	1.382e-05	1.5461e-05	0.01	0.03738	
2.8801e-07	1.2899e-07	5.8237e-07	1.3377e-06	1.3291e-06	1.3107e-05	1.5339e-05	0.01	0.037411	
2.7222e-07	1.2246e-07	5.7029e-07	1.2824e-06	1.3542e-06	1.2385e-05	1.5211e-05	0.01	0.037443	
2.5552e-07	1.1519e-07	5.5606e-07	1.2221e-06	1.3784e-06	1.1654e-05	1.5079e-05	0.01	0.037474	
2.3791e-07	1.0716e-07	5.3969e-07	1.1568e-06	1.4017e-06	1.0914e-05	1.4943e-05	0.01	0.037505	
2.1431e-07	1.1195e-07	5.1744e-07	1.1474e-06	1.419e-06	1.0127e-05	1.4785e-05	0.01	0.037536	
1.8304e-07	1.126e-07	5.0594e-07	1.117e-06	1.4538e-06	9.4597e-06	1.4681e-05	0.01	0.037568	
1.4755e-07	1.1081e-07	4.8877e-07	1.0672e-06	1.4822e-06	8.748e-06	1.4555e-05	0.01	0.037599	
1.2286e-07	9.9195e-08	4.8175e-07	9.0823e-07	1.5303e-06	8.1449e-06	1.4482e-05	0.01	0.037631	
9.1466e-08	7.6246e-08	4.6906e-07	8.8104e-07	1.571e-06	7.4992e-06	1.4388e-05	0.01	0.037663	
5.6127e-08	4.5884e-08	4.5077e-07	8.3748e-07	1.6049e-06	6.8111e-06	1.4272e-05	0.01	0.037695	
2.954e-08	3.4126e-08	4.4228e-07	8.2704e-07	1.6283e-06	6.0178e-06	1.4209e-05	0.01	0.037727	
2.1467e-08	1.6201e-08	5.0957e-07	7.8724e-07	1.6235e-06	5.8248e-06	1.4026e-05	0.01	0.037759	
2.18e-08	1.4708e-08	5.6881e-07	7.0588e-07	1.6125e-06	5.6042e-06	1.382e-05	0.01	0.037791	
2.0467e-08	1.2455e-08	6.2033e-07	6.1954e-07	1.5952e-06	5.3558e-06	1.3592e-05	0.01	0.037823	
2.0089e-08	3.2875e-09	6.9025e-07	5.7183e-07	1.5949e-06	5.1575e-06	1.342e-05	0.01	0.037855	
1.8232e-08	2.7126e-09	7.5188e-07	5.0598e-07	1.5886e-06	4.9334e-06	1.3226e-05	0.01	0.037887	
1.7366e-08	3.2731e-09	8.0553e-07	4.7018e-07	1.5764e-06	4.6826e-06	1.301e-05	0.01	0.03792	
1.7294e-08	9.0832e-10	8.7942e-07	4.6015e-07	1.5808e-06	4.4798e-06	1.2848e-05	0.01	0.037952	
1.5786e-08	1.1233e-09	9.4448e-07	4.3534e-07	1.5793e-06	4.2517e-06	1.2666e-05	0.01	0.037985	
1.5216e-08	1.8645e-09	9.9374e-07	4.3306e-07	1.5591e-06	4.4393e-06	1.2422e-05	0.01	0.038018	
1.5302e-08	3.7523e-09	1.0636e-06	4.5217e-07	1.557e-06	4.2834e-06	1.2233e-05	0.01	0.038051	
1.7772e-08	3.7984e-09	1.0971e-06	4.396e-07	1.4922e-06	4.2143e-06	1.186e-05	0.01	0.038085	
1.8768e-08	2.7661e-09	1.1228e-06	4.1293e-07	1.4186e-06	4.1223e-06	1.146e-05	0.01	0.038119	
2.0621e-08	2.883e-09	1.1662e-06	4.0726e-07	1.3688e-06	4.0646e-06	1.1127e-05	0.01	0.038153	
2.0994e-08	1.7211e-09	1.2015e-06	3.8902e-07	1.3115e-06	3.9847e-06	1.0769e-05	0.01	0.038187	
1.987e-08	3.8752e-09	1.2288e-06	3.5614e-07	1.2462e-06	3.8822e-06	1.0386e-05	0.01	0.038221	
1.9636e-08	2.9555e-09	1.275e-06	3.443e-07	1.2025e-06	3.8136e-06	1.0066e-05	0.01	0.038256	
1.7901e-08	6.8551e-09	1.3129e-06	3.1716e-07	1.152e-06	3.7233e-06	9.7232e-06	0.01	0.03829	
1.6998e-08	6.6328e-09	1.3716e-06	3.0918e-07	1.12e-06	3.6656e-06	9.4389e-06	0.01	0.038325	
1.6834e-08	8.648e-09	1.4549e-06	3.1813e-07	1.1035e-06	3.639e-06	9.207e-06	0.01	0.03836	
1.7954e-08	6.7302e-09	1.5281e-06	3.5019e-07	1.0814e-06	3.5907e-06	8.9545e-06	0.01	0.038395	
2.1317e-08	2.0049e-09	1.5562e-06	3.5068e-07	1.0743e-06	3.5771e-06	8.4899e-06	0.01	0.038431	
2.3134e-08	2.1112e-09	1.5727e-06	3.3774e-07	1.0591e-06	4.2424e-06	8.6536e-06	0.01	0.038467	
2.339e-08	7.3971e-09	1.5808e-06	3.0939e-07	1.0385e-06	4.8677e-06	8.7979e-06	0.01	0.038503	
2.1959e-08	1.1144e-08	1.5804e-06	2.6649e-07	1.035e-06	5.6528e-06	8.9229e-06	0.01	0.038539	
2.2136e-08	1.0407e-08	1.5994e-06	2.4826e-07	1.0486e-06	5.8427e-06	9.091e-06	0.01	0.038575	
2.3389e-08	4.337e-09	1.5862e-06	2.4629e-07	1.0773e-06	6.0873e-06	9.9556e-06	0.01	0.038612	
2.3062e-08	4.9217e-09	1.5645e-06	2.3052e-07	1.1002e-06	6.3038e-06	1.0778e-05	0.01	0.038648	
2.1224e-08	4.3918e-09	1.5345e-06	2.0304e-07	1.1178e-06	6.4934e-06	1.156e-05	0.01	0.038684	
1.7816e-08	1.0696e-08	1.496e-06	1.6103e-07	1.13e-06	6.6565e-06	1.2305e-05	0.01	0.03872	
1.9499e-08	1.3173e-08	1.4488e-06	1.6598e-07	1.1371e-06	6.793e-06	1.3012e-05	0.01	0.038756	
1.841e-08	1.2729e-08	1.3921e-06	2.3439e-07	1.1616e-06	7.0044e-06	1.3679e-05	0.01	0.038792	
1.2588e-08	1.3005e-07	9.0904e-07	5.0466e-07	1.0164e-06	1.2023e-05	2.4801e-05	0.01	0.03927	
1.1194e-08	1.3115e-07	8.9617e-07	4.8334e-07	9.5217e-07	1.2729e-05	2.5928e-05	0.01	0.039308	
1.0114e-08	1.4343e-07	8.9528e-07	4.8159e-07	9.0505e-07	1.3549e-05	2.7213e-05	0.01	0.039346	
1.3352e-08	1.48e-07	8.8847e-07	4.4589e-07	8.525e-07	1.4323e-05	2.8449e-05	0.01	0.039384	
1.7328e-08	1.3526e-07	8.9395e-07	4.3206e-07	8.1527e-07	1.5225e-05	2.9862e-05	0.01	0.039423	
1.9895e-08	1.179e-07	8.9345e-07	4.0664e-07	7.7317e-07	1.608e-05	3.1221e-05	0.01	0.039462	
2.3399e-08	1.1411e-07	9.0621e-07	4.0048e-07	7.446e-07	1.7077e-05	3.1462e-05	0.01	0.039501	
2.5413e-08	1.0672e-07	9.1264e-07	3.8269e-07	7.1135e-07	1.802e-05	3.1676e-05	0.01	0.03954	
2.5943e-08	9.5334e-08	9.1271e-07	3.5293e-07	6.7314e-07	1.891e-05	3.1864e-05	0.01	0.039579	
2.9101e-08	6.2491e-08	9.0616e-07	3.5341e-07	6.2931e-07	1.9745e-05	3.2023e-05	0.01	0.039618	
3.4133e-08	4.9119e-08	8.9307e-07	3.7275e-07	5.8066e-07	2.0504e-05	3.2155e-05	0.01	0.039657	
3.7504e-08	3.1281e-08	8.7339e-07	3.803e-07	5.2599e-07	2.1214e-05	3.226e-05	0.01	0.039695	
3.9203e-08	3.3633e-08	8.4697e-07	3.7452e-07	4.6485e-07	2.1875e-05	3.2338e-05	0.01	0.039734	
4.2605e-08	2.8398e-08	8.3462e-07	3.8865e-07	4.2106e-07	2.2674e-05	3.2493e-05	0.01	0.039773	
4.8022e-08	1.0738e-08	8.3559e-07	4.2517e-07	3.9061e-07	2.3629e-05	3.273e-05	0.01	0.039812	
5.1561e-08	9.8679e-09	8.2994e-07	4.4645e-07	3.5535e-07	2.4524e-05	3.2936e-05	0.01	0.039852	
5.8043e-08	3.753e-09	8.176e-07	4.973e-07	3.1495e-07	2.536e-05	3.3113e-05	0.01	0.039891	
6.2496e-08	4.1062e-09	7.9868e-07	5.2945e-07	2.6929e-07	2.6141e-05	3.326e-05	0.01	0.03993	
6.9719e-08	6.3259e-09	7.9315e-07	5.978e-07	2.3663e-07	2.7083e-05	3.3491e-05	0.01	0.03997	
6.9707e-08	6.787e-09	7.0613e-07	6.4041e-07	2.1388e-07	2.8208e-05	3.3814e-05	0.01	0.04001	
7.3118e-08	4.8935e-09	6.4109e-07	6.3822e-07	1.9879e-07	2.9542e-05	3.4233e-05	0.01	0.040051	
6.5576e-08	1.7562e-08	2.9075e-07	5.3267e-07	1.0361e-07	3.4146e-05	3.5571e-05	0.01	0.040213	
5.7803e-08	1.7591e-08	2.9429e-07	4.8423e-07	1.0988e-07	3.5105e-05	3.5818e-05	0.01	0.040253	
5.2742e-08	2.2031e-08	2.5131e-07	4.6185e-07	1.2128e-07	3.6262e-05	3.6159e-05	0.01	0.040293	
4.9939e-08	2.0306e-08	2.1899e-07	4.6277e-07	1.1447e-07	3.7667e-05	3.6598e-05	0.01	0.040335	
4.5445e-08	1.6331e-08	1.8115e-07	4.5034e-07	1.0515e-07	3.8993e-05	3.7003e-05	0.01	0.040376	
4.2947e-08	1.648e-08	1.523e-07	4.5959e-07	9.9867e-08	4.0566e-05	3.7513e-05	0.01	0.040417	
3.8643e-08	1.46e-08	1.1836e-07	4.5675e-07	9.2108e-08	4.207e-05	3.7986e-05	0.01	0.040459	
3.6188e-08	1.6336e-08	7.8365e-08	4.7611e-07	8.8081e-08	4.3869e-05	3.8409e-05	0.01	0.0405	
3.5342e-08	2.3771e-08	4.6524e-08	5.2171e-07	8.7277e-08	4.5991e-05	3.8939e-05	0.01	0.040542	
2.5337e-08	2.553e-08	6.855e-08	5.3688e-07	7.9266e-08	7.728e-05	5.329e-05	0.01	0.041098	
2.5708e-08	1.0506e-08	6.5841e-08	5.339e-07	8.5634e-08	7.8492e-05	5.5373e-05	0.01	0.041142	
2.4469e-08	9.9709e-09	5.9642e-08	5.1307e-07	8.9721e-08	7.962e-05	5.7362e-05	0.01	0.041186	
2.4352e-08	4.2977e-09	5.564e-08	5.1799e-07	9.7354e-08	8.1007e-05	5.9678e-05	0.01	0.04123	
2.1965e-08	4.7401e-09	5.3634e-08	5.0018e-07	1.0201e-07	8.2225e-05	6.2382e-05	0.01	0.041274	
2.6481e-08	2.8982e-09	4.8269e-08	5.6026e-07	1.0431e-07	8.3355e-05	6.4966e-05	0.01	0.041319	
3.3062e-08	2.5314e-09	5.0101e-08	6.631e-07	1.1035e-07	8.4758e-05	6.5987e-05	0.01	0.041363	
3.794e-08	7.6193e-09	4.8789e-08	7.4528e-07	1.1414e-07	8.6079e-05	6.6958e-05	0.01	0.041407	
4.1195e-08	1.092e-08	4.4536e-08	8.0961e-07	1.1598e-07	8.7337e-05	6.7889e-05	0.01	0.041451	
4.3153e-08	1.2888e-08	3.7586e-08	8.6314e-07	1.1617e-07	8.855e-05	6.8792e-05	0.01	0.041495	
4.3883e-08	1.3644e-08	2.8023e-08	9.0705e-07	1.1482e-07	8.9725e-05	6.9672e-05	0.01	0.041539	
4.3408e-08	1.3228e-08	1.5873e-08	9.4178e-07	1.1199e-07	9.0865e-05	7.053e-05	0.01	0.041583	
4.1737e-08	1.1649e-08	2.4878e-08	9.6753e-07	1.0767e-07	9.197e-05	7.1362e-05	0.01	0.041626	
4.0685e-08	1.1572e-08	3.3762e-08	1.0124e-06	1.0508e-07	9.3226e-05	7.2292e-05	0.01	0.041671	
4.0215e-08	1.2966e-08	4.2718e-08	1.0785e-06	1.0413e-07	9.4641e-05	7.3328e-05	0.01	0.041715	
4.0311e-08	1.6213e-08	5.1947e-08	1.1695e-06	1.0479e-07	9.6227e-05	7.4475e-05	0.01	0.04176	
3.9234e-08	1.8234e-08	5.8586e-08	1.2503e-06	1.0401e-07	9.7775e-05	7.56e-05	0.01	0.041805	
3.9008e-08	1.7384e-08	6.5658e-08	1.2754e-06	1.0485e-07	9.9505e-05	7.6845e-05	0.01	0.041851	
3.7604e-08	1.5313e-08	7.0104e-08	1.291e-06	1.0423e-07	0.0001012	7.8064e-05	0.01	0.041896	
3.6732e-08	1.5091e-08	7.5092e-08	1.3285e-06	1.0523e-07	0.00010308	7.9411e-05	0.01	0.041942	
3.4687e-08	1.3691e-08	7.7438e-08	1.3564e-06	1.0478e-07	0.00010492	8.0732e-05	0.01	0.041988	
3.1467e-08	1.1101e-08	7.7146e-08	1.3747e-06	1.0288e-07	0.00010672	8.2027e-05	0.01	0.042034	
2.8734e-08	7.7503e-09	7.7423e-08	1.388e-06	1.0257e-07	0.00010872	8.3456e-05	0.01	0.04208	
2.4836e-08	3.1857e-09	7.5058e-08	1.3917e-06	1.0082e-07	0.00011068	8.4857e-05	0.01	0.042126	
1.9745e-08	4.7862e-09	7.004e-08	1.3809e-06	9.7607e-08	0.00011259	8.6231e-05	0.01	0.042172	
1.3336e-08	5.3719e-09	6.56e-08	1.3604e-06	1.0002e-07	0.0001122	8.7747e-05	0.01	0.042219	
7.3862e-09	6.8094e-09	6.1632e-08	1.3622e-06	1.0408e-07	0.00011194	8.9418e-05	0.01	0.042265	
1.0613e-08	7.1904e-09	5.5056e-08	1.3542e-06	1.0669e-07	0.00011165	9.1058e-05	0.01	0.042311	
1.2759e-08	6.5318e-09	4.5878e-08	1.3368e-06	1.0786e-07	0.00011132	9.267e-05	0.01	0.042358	
1.4893e-08	6.7725e-09	3.7032e-08	1.341e-06	1.107e-07	0.00011112	9.4441e-05	0.01	0.042404	
1.7078e-08	7.9778e-09	2.8316e-08	1.3671e-06	1.1531e-07	0.00011105	9.6385e-05	0.01	0.042451	
1.8166e-08	8.1259e-09	1.7058e-08	1.3838e-06	1.1846e-07	0.00011094	9.8297e-05	0.01	0.042499	
1.9354e-08	9.4097e-09	5.753e-09	1.4235e-06	1.235e-07	0.00011096	0.00010039	0.01	0.042546	
1.9427e-08	9.5874e-09	8.0479e-09	1.4532e-06	1.2702e-07	0.00011094	0.00010244	0.01	0.042593	
1.838e-08	8.6535e-09	7.9925e-09	1.4729e-06	1.2901e-07	0.00011089	0.00010446	0.01	0.042641	
1.7479e-08	8.9645e-09	6.6843e-09	1.5177e-06	1.3309e-07	0.00011097	0.00010667	0.01	0.042688	
1.5394e-08	8.082e-09	1.1148e-08	1.5508e-06	1.3543e-07	0.00011101	0.00010779	0.01	0.042736	
1.2121e-08	5.97e-09	1.3144e-08	1.5721e-06	1.3605e-07	0.00011101	0.00010888	0.01	0.042784	
9.1245e-09	5.2215e-09	1.438e-08	1.624e-06	1.3933e-07	0.00011116	0.00011012	0.01	0.042833	
1.2635e-08	3.0227e-09	1.297e-08	1.6542e-06	1.4046e-07	0.00011125	0.00011131	0.01	0.042881	
1.4183e-08	2.3192e-09	2.8788e-08	1.7385e-06	1.3628e-07	0.00011469	0.00011235	0.01	0.042929	
1.6253e-08	2.3423e-09	4.7092e-08	1.8735e-06	1.3573e-07	0.00011867	0.00011358	0.01	0.042978	
1.6981e-08	1.2307e-09	6.1882e-08	1.9881e-06	1.3297e-07	0.00012249	0.00011475	0.01	0.043027	
2.2272e-08	1.3657e-09	7.3205e-08	1.9875e-06	1.2795e-07	0.00012616	0.00011587	0.01	0.043075	
2.8994e-08	1.8796e-09	8.7461e-08	2.0297e-06	1.2649e-07	0.00013039	0.00011719	0.01	0.043124	
3.2569e-08	3.5809e-09	9.7918e-08	2.1562e-06	1.2278e-07	0.00013445	0.00011844	0.01	0.043174	
3.4543e-08	3.994e-09	1.0474e-07	2.2595e-06	1.0408e-07	0.00014318	0.00011962	0.01	0.043223	
3.7842e-08	5.818e-09	1.1469e-07	2.4279e-06	9.0261e-08	0.00015321	0.00012102	0.01	0.043273	
3.9568e-08	6.2388e-09	1.2098e-07	2.5706e-06	7.3989e-08	0.00016286	0.00012235	0.01	0.043323	
3.9752e-08	5.2945e-09	1.2369e-07	2.6895e-06	5.5224e-08	0.00017216	0.00012363	0.01	0.043373	
4.1345e-08	5.9368e-09	1.2976e-07	2.8831e-06	4.084e-08	0.00018286	0.00012512	0.01	0.043424	
4.1291e-08	5.1553e-09	1.3178e-07	3.0459e-06	4.6045e-08	0.00019252	0.00012653	0.01	0.043474	
4.2889e-08	6.1372e-09	1.379e-07	3.3092e-06	4.872e-08	0.00020112	0.00012821	0.01	0.043525	
4.6903e-08	1.052e-08	1.6065e-07	3.3482e-06	5.371e-08	0.00021122	0.00012863	0.01	0.043576	
4.9e-08	1.255e-08	2.9302e-07	3.9544e-06	5.6699e-08	0.00022086	0.00012879	0.01	0.043626	
4.9438e-08	1.2858e-08	4.1491e-07	4.4955e-06	5.7831e-08	0.00023013	0.00012892	0.01	0.043677	
5.2161e-08	1.0291e-08	5.672e-07	4.8161e-06	6.0993e-08	0.00024076	0.00012918	0.01	0.043728	
5.6629e-08	1.0243e-08	7.5669e-07	5.2809e-06	6.631e-08	0.00025289	0.00012959	0.01	0.043779	
5.9459e-08	8.6939e-09	9.3347e-07	5.6992e-06	6.9786e-08	0.00026462	0.00012995	0.01	0.043829	
6.0678e-08	5.5993e-09	1.0983e-06	6.0753e-06	7.1451e-08	0.00027597	0.00013028	0.01	0.04388	
5.9599e-08	8.8012e-09	1.2513e-06	6.3606e-06	7.131e-08	0.00028696	0.00013056	0.01	0.043931	
5.7016e-08	1.0615e-08	1.3949e-06	6.6173e-06	6.9487e-08	0.00029765	0.00013081	0.01	0.043982	
5.5848e-08	1.4893e-08	1.5703e-06	6.9823e-06	6.9438e-08	0.00030965	0.00013118	0.01	0.044034	
5.321e-08	1.7626e-08	1.7354e-06	7.3154e-06	6.7734e-08	0.00032133	0.00013152	0.01	0.044085	
5.374e-08	1.3566e-08	1.8907e-06	7.8835e-06	6.4383e-08	0.00033271	0.00013183	0.01	0.044137	
5.5545e-08	1.2069e-08	2.1706e-06	8.6484e-06	6.2742e-08	0.00034548	0.00013073	0.01	0.044188	
5.5943e-08	9.2215e-09	2.4369e-06	9.3628e-06	5.9518e-08	0.00035796	0.00012959	0.01	0.04424	
5.754e-08	8.1215e-09	2.7575e-06	1.0308e-05	5.7745e-08	0.00037185	0.0001286	0.01	0.044291	
6.0402e-08	8.3537e-09	3.1437e-06	1.1555e-05	5.7313e-08	0.00038734	0.00012776	0.01	0.044344	
6.4738e-08	1.0152e-08	3.5086e-06	1.3215e-05	5.8282e-08	0.00040472	0.00012687	0.01	0.044396	
6.7593e-08	1.0639e-08	3.8559e-06	1.4767e-05	5.7922e-08	0.00042163	0.00012594	0.01	0.044448	
6.8963e-08	9.8186e-09	4.1863e-06	1.6217e-05	5.6004e-08	0.00043813	0.00012497	0.01	0.0445	
5.5646e-08	3.0498e-09	4.5926e-06	1.8973e-05	5.5964e-08	0.00045686	0.00012416	0.01	0.044552	
6.3158e-08	3.035e-09	4.9781e-06	2.1193e-05	5.4333e-08	0.00047509	0.00012331	0.01	0.044604	
7.2569e-08	3.5968e-09	5.4416e-06	2.4102e-05	5.3942e-08	0.00049536	0.00012259	0.01	0.044656	
8.0432e-08	3.1112e-09	5.8856e-06	2.685e-05	5.2074e-08	0.00051519	0.00012184	0.01	0.044708	
9.0403e-08	3.1714e-09	6.4169e-06	3.0428e-05	5.1344e-08	0.0005372	0.00012122	0.01	0.044761	
1.0293e-07	3.8088e-09	7.0538e-06	3.5109e-05	5.1735e-08	0.00056162	0.00012071	0.01	0.044814	
1.1373e-07	3.3851e-09	7.664e-06	3.9521e-05	5.0653e-08	0.00058551	0.00012017	0.01	0.044867	
1.279e-07	3.7245e-09	8.4098e-06	4.5463e-05	5.0903e-08	0.0006123	0.00011975	0.01	0.044921	
1.5237e-07	5.6866e-09	9.0987e-06	5.4539e-05	5.7903e-08	0.00062343	0.00011928	0.01	0.044974	
1.736e-07	6.1671e-09	9.7379e-06	6.268e-05	6.2866e-08	0.00063409	0.00011876	0.01	0.045027	
1.9202e-07	5.1767e-09	1.033e-05	6.9931e-05	6.5824e-08	0.00064429	0.00011818	0.01	0.045081	
2.1845e-07	6.0158e-09	1.1108e-05	8.0683e-05	7.3269e-08	0.00064731	0.00011778	0.01	0.045134	
2.4127e-07	5.3862e-09	1.1826e-05	9.0301e-05	7.8522e-08	0.00065012	0.00011732	0.01	0.045187	
2.7413e-07	7.0585e-09	1.2762e-05	9.4044e-05	8.722e-08	0.00065364	0.00011703	0.01	0.045241	
3.0272e-07	7.1456e-09	1.3628e-05	9.7359e-05	9.3541e-08	0.00065694	0.00011668	0.01	0.045294	
3.6643e-07	1.1875e-08	1.4426e-05	9.8926e-05	9.2275e-08	0.00066831	0.00011628	0.01	0.045347	
4.1834e-07	1.3652e-08	1.5093e-05	0.00010585	1.2382e-07	0.0006779	0.00011808	0.01	0.045401	
4.8908e-07	2.0036e-08	1.5963e-05	0.00011608	1.6663e-07	0.00068915	0.0001202	0.01	0.045454	
5.5258e-07	2.3888e-08	1.6767e-05	0.00012521	2.0456e-07	0.00069989	0.00012221	0.01	0.045508	
6.1521e-07	2.4501e-08	1.757e-05	0.0001317	2.4152e-07	0.00071063	0.00012423	0.01	0.045562	
6.7697e-07	3.0568e-08	1.8372e-05	0.00014127	2.7749e-07	0.00072138	0.00012624	0.01	0.045615	
7.3787e-07	3.3908e-08	1.9172e-05	0.0001498	3.1249e-07	0.00073212	0.00012825	0.01	0.045669	
7.979e-07	2.9909e-08	1.9971e-05	0.000163	3.465e-07	0.00074287	0.00013026	0.01	0.045723	
8.5707e-07	2.1661e-08	2.0769e-05	0.0001724	3.7953e-07	0.00075361	0.00013226	0.01	0.045777	
9.1536e-07	1.9425e-08	2.1565e-05	0.00018623	4.1159e-07	0.00076436	0.00013427	0.01	0.045831	
9.728e-07	1.4905e-08	2.236e-05	0.00019853	4.4266e-07	0.00077511	0.00013627	0.01	0.045884	
1.0294e-06	7.8324e-09	2.3154e-05	0.00020949	4.7275e-07	0.00078587	0.00013826	0.01	0.045938	
1.0851e-06	5.9076e-09	2.3946e-05	0.00021392	5.0186e-07	0.00079662	0.00014026	0.01	0.045992	
1.1399e-06	2.2299e-09	2.4737e-05	0.00021782	5.2999e-07	0.00080738	0.00014225	0.01	0.046046	
1.1939e-06	1.0262e-09	2.5527e-05	0.00021921	5.5715e-07	0.00081813	0.00014424	0.01	0.0461	
1.247e-06	5.7597e-10	2.6315e-05	0.00021905	5.8332e-07	0.00082889	0.00014622	0.01	0.046155	
1.2992e-06	4.8103e-10	2.7102e-05	0.0002174	6.0851e-07	0.00083965	0.0001482	0.01	0.046209	
1.3506e-06	4.4894e-10	2.7888e-05	0.00021656	6.3272e-07	0.00085042	0.00015019	0.01	0.046263	
1.4011e-06	4.2236e-10	2.8672e-05	0.00021635	6.5595e-07	0.00086118	0.00015216	0.01	0.046317	
1.4507e-06	8.0782e-10	2.9455e-05	0.00021759	6.782e-07	0.00087195	0.00015414	0.01	0.046371	
1.4995e-06	1.5627e-09	3.0237e-05	0.0002197	6.9947e-07	0.00088271	0.00015611	0.01	0.046426	
1.5474e-06	3.678e-09	3.1017e-05	0.00022004	7.1977e-07	0.00089348	0.00015808	0.01	0.04648	
1.6845e-06	1.2884e-08	3.1732e-05	0.00021947	7.3522e-07	0.00090373	0.00015995	0.01	0.046534	
1.8715e-06	3.5194e-08	3.2679e-05	0.0002195	7.6463e-07	0.00090613	0.00016215	0.01	0.04651	
2.1386e-06	9.0234e-08	3.3551e-05	0.00022015	7.8871e-07	0.0009083	0.00016425	0.01	0.046485	
2.516e-06	2.2583e-07	3.435e-05	0.00022154	9.4303e-07	0.00090923	0.00016624	0.01	0.04646	
3.0272e-06	5.5503e-07	3.5071e-05	0.00022384	1.155e-06	0.00091085	0.00016808	0.01	0.046436	
3.4955e-06	8.1478e-07	3.5733e-05	0.00022585	1.3483e-06	0.00091228	0.00016983	0.01	0.046411	
3.8775e-06	1.0154e-06	3.661e-05	0.0002275	1.6101e-06	0.00091437	0.0001719	0.01	0.046386	
4.3898e-06	1.4981e-06	3.7755e-05	0.00023016	1.9636e-06	0.00091718	0.00017433	0.01	0.046362	
4.8538e-06	1.8793e-06	3.8813e-05	0.00023247	2.4727e-06	0.00092113	0.00017665	0.01	0.046337	
5.3172e-06	2.26e-06	3.9871e-05	0.00023479	2.9813e-06	0.00092508	0.00017896	0.01	0.046313	
5.7803e-06	2.6403e-06	4.0927e-05	0.0002371	3.4893e-06	0.00092903	0.00018126	0.01	0.046288	
6.2428e-06	3.0203e-06	4.1982e-05	0.00023941	3.9969e-06	0.00093297	0.00018357	0.01	0.046263	
6.7049e-06	3.3999e-06	4.3036e-05	0.00024172	4.504e-06	0.00093691	0.00018587	0.01	0.046239	
7.1666e-06	3.7791e-06	4.4089e-05	0.00024403	5.0105e-06	0.00094084	0.00018818	0.01	0.046214	
