Struthio_camelus_australis	Rhea_americana	Nothoprocta_perdicaria	Dromaius_novaehollandiae	Casuarius_casuarius	Apteryx_rowi	Apteryx_australis_mantelli	
0.00011668	3.0155e-07	0.80493	2.7844e-05	0.01	0.01	0.01	
0.00011667	2.9317e-07	0.81102	2.8721e-05	0.01	0.01	0.01	
0.00011672	2.856e-07	0.81768	2.9623e-05	0.01	0.01	0.01	
0.00011675	2.762e-07	0.82407	3.0515e-05	0.01	0.01	0.01	
0.00011683	2.6756e-07	0.83106	3.1431e-05	0.01	0.01	0.01	
0.00011689	2.5711e-07	0.83778	3.2338e-05	0.01	0.01	0.01	
0.00011694	2.4483e-07	0.84424	3.3236e-05	0.01	0.01	0.01	
0.00011705	2.3329e-07	0.85129	3.4158e-05	0.01	0.01	0.01	
0.0001172	2.2241e-07	0.85897	3.5105e-05	0.01	0.01	0.01	
0.00011734	2.0969e-07	0.86635	3.6043e-05	0.01	0.01	0.01	
0.00011753	1.976e-07	0.87439	3.7006e-05	0.01	0.01	0.01	
0.00011778	1.8609e-07	0.88313	3.7996e-05	0.01	0.01	0.01	
0.00011801	1.7273e-07	0.89153	3.8976e-05	0.01	0.01	0.01	
0.00011821	1.5757e-07	0.89961	3.9945e-05	0.01	0.01	0.01	
0.00011848	1.4299e-07	0.90841	4.0942e-05	0.01	0.01	0.01	
0.00011873	1.2659e-07	0.91687	4.1932e-05	0.01	0.01	0.01	
0.00011896	1.0836e-07	0.92502	4.2911e-05	0.01	0.01	0.01	
0.00011917	8.8231e-08	0.93284	4.3886e-05	0.01	0.01	0.01	
0.00011935	1.0848e-07	0.94034	4.4849e-05	0.01	0.01	0.01	
0.00011952	1.2684e-07	0.94755	4.5801e-05	0.01	0.01	0.01	
0.00011974	1.4589e-07	0.9554	4.6781e-05	0.01	0.01	0.01	
0.00012003	1.6574e-07	0.96395	4.7791e-05	0.01	0.01	0.01	
0.00012029	1.8364e-07	0.97216	4.879e-05	0.01	0.01	0.01	
0.00012053	1.9959e-07	0.98005	4.9776e-05	0.01	0.01	0.01	
0.00012083	2.1643e-07	0.98264	5.0792e-05	0.01	0.01	0.01	
0.00012111	2.3135e-07	0.98514	5.1798e-05	0.01	0.01	0.01	
0.00012145	2.4724e-07	0.9879	5.2834e-05	0.01	0.01	0.01	
0.00012177	2.6113e-07	0.99058	5.3859e-05	0.01	0.01	0.01	
0.00012216	2.7607e-07	0.99352	5.4915e-05	0.01	0.01	0.01	
0.0001226	2.9218e-07	0.99444	5.6005e-05	0.01	0.01	0.01	
0.00012311	3.0957e-07	0.99454	5.713e-05	0.01	0.01	0.01	
0.00012369	3.2832e-07	0.99472	5.8291e-05	0.01	0.01	0.01	
0.00012434	3.4855e-07	0.995	5.9487e-05	0.01	0.01	0.01	
0.00012505	3.7039e-07	0.99536	6.0721e-05	0.01	0.01	0.01	
0.00012575	3.9013e-07	0.99573	6.1942e-05	0.01	0.01	0.01	
0.00012642	4.0779e-07	0.99611	6.315e-05	0.01	0.01	0.01	
0.00012716	4.271e-07	0.99592	6.4396e-05	0.01	0.01	0.01	
0.00012788	4.4425e-07	0.99575	6.5627e-05	0.01	0.01	0.01	
0.00012867	4.631e-07	0.99565	6.6897e-05	0.01	0.01	0.01	
0.00012953	4.8376e-07	0.99563	6.8205e-05	0.01	0.01	0.01	
0.00013047	5.0635e-07	0.99569	6.9553e-05	0.01	0.01	0.01	
0.00013149	5.3102e-07	0.99584	7.0942e-05	0.01	0.01	0.01	
0.00013249	5.535e-07	0.996	7.2318e-05	0.01	0.01	0.01	
0.00013346	5.738e-07	0.99617	7.368e-05	0.01	0.01	0.01	
0.00013452	5.9627e-07	0.99642	7.5084e-05	0.01	0.01	0.01	
0.00013554	6.1652e-07	0.99668	7.6474e-05	0.01	0.01	0.01	
0.00013666	6.3908e-07	0.99703	7.7907e-05	0.01	0.01	0.01	
0.00013775	6.5936e-07	0.99739	7.9327e-05	0.01	0.01	0.01	
0.00013881	6.7733e-07	0.99776	8.0731e-05	0.01	0.01	0.01	
0.00013984	9.5954e-07	0.99814	8.2121e-05	0.01	0.01	0.01	
0.00014085	1.2349e-06	0.99854	8.3497e-05	0.01	0.01	0.01	
0.00014195	1.5324e-06	0.99856	8.4917e-05	0.01	0.01	0.01	
0.00014301	1.8221e-06	0.99859	8.632e-05	0.01	0.01	0.01	
0.00014417	2.1353e-06	0.99829	8.777e-05	0.01	0.01	0.01	
0.0001453	2.4404e-06	0.998	8.9203e-05	0.01	0.01	0.01	
0.0001464	2.7378e-06	0.99772	9.0621e-05	0.01	0.01	0.01	
0.00014759	3.059e-06	0.99752	9.2083e-05	0.01	0.01	0.01	
0.00014887	3.4058e-06	0.99739	9.3592e-05	0.01	0.01	0.01	
0.00015025	3.7805e-06	0.99733	9.5148e-05	0.01	0.01	0.01	
0.0001516	4.1461e-06	0.99729	9.6688e-05	0.01	0.01	0.01	
0.00015292	4.5036e-06	0.99726	9.8213e-05	0.01	0.01	0.01	
0.00015434	4.8901e-06	0.99731	9.9786e-05	0.01	0.01	0.01	
0.00015587	5.3081e-06	0.99743	0.00010141	0.01	0.01	0.01	
0.00015736	5.7167e-06	0.99757	0.00010302	0.01	0.01	0.01	
0.00015897	6.1594e-06	0.99778	0.00010467	0.01	0.01	0.01	
0.00016054	6.5908e-06	0.998	0.00010632	0.01	0.01	0.01	
0.00016207	7.0119e-06	0.99825	0.00010794	0.01	0.01	0.01	
0.00016373	7.4697e-06	0.99812	0.00010962	0.01	0.01	0.01	
0.00016551	7.9676e-06	0.99807	0.00011135	0.01	0.01	0.01	
0.00016725	8.452e-06	0.99804	0.00011307	0.01	0.01	0.01	
0.00016894	8.924e-06	0.99802	0.00011476	0.01	0.01	0.01	
0.00017077	9.4389e-06	0.99808	0.00011652	0.01	0.01	0.01	
0.00017275	1.0001e-05	0.99774	0.00011833	0.01	0.01	0.01	
0.00017467	1.0547e-05	0.99742	0.00012013	0.01	0.01	0.01	
0.00017674	1.1145e-05	0.99631	0.00012198	0.01	0.01	0.01	
0.00017897	1.1798e-05	0.99533	0.00012391	0.01	0.01	0.01	
0.00018137	1.2513e-05	0.99448	0.0001259	0.01	0.01	0.01	
0.00018371	1.3207e-05	0.99362	0.00012787	0.01	0.01	0.01	
